date,time,lat,lon,count
2018-04-12,00:01:35,39.73,117.03,8
2018-04-12,00:01:35,39.96,116.36,100
2018-04-12,00:01:35,39.67,116.07,3
2018-04-12,00:01:35,40.35,116.22,2
2018-04-12,00:01:35,39.7,116.21,18
2018-04-12,00:01:35,39.39,116.31,3
2018-04-12,00:01:35,40.3,116.67,4
2018-04-12,00:01:35,39.81,117.28,2
2018-04-12,00:01:35,40.12,116.27,9
2018-04-12,00:01:35,39.62,117.5,1
2018-04-12,00:01:35,40.11,116.28,1
2018-04-12,00:01:35,39.52,116.9,3
2018-04-12,00:01:35,39.76,117.48,1
2018-04-12,00:01:35,40.2,116.88,1
2018-04-12,00:01:35,39.62,116.88,10
2018-04-12,00:01:35,40.96,116.38,2
2018-04-12,00:01:35,39.72,117.4,4
2018-04-12,00:01:35,39.72,117.22,6
2018-04-12,00:01:35,39.6,116.06,1
2018-04-12,00:01:35,39.97,117.34,2
